activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073000700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,1,1,1,2,2,2,175000.0,79.07,5.375,-0.278,2,1848.15,NA,400.0,,,360,NA,72,2,2,2,2,215000,1,1,3,5,1,NA,71,42,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,5771,22.7,86900,73,1221,1932,62
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,1,2,2,2,145000.0,45.07,4.125,-0.19,2,1012.65,NA,400.0,,,120,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,71,38,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,3118,7.25,81500,88,1167,2243,42
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001105,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,1,5,1,2,2,2,175000.0,NA,4.5,NA,2,NA,NA,NA,NA,NA,222,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,2487,9.89,86900,118,729,842,37
2022,549300ZAI389CEN8VG51,99999,WI,55075,55075960700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,32,1,2,2,2,115000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,2,3,5,1,NA,102,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,NA,1,1,2,,,,,10,,,,3301,5.09,81500,74,1219,5195,41
2022,549300ZAI389CEN8VG51,99999,WI,55121,55121100100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,31,1,2,2,2,255000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,126,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,3423,4.53,81500,96,1038,1468,45
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001203,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,1,1,1,1,2,2,2,225000.0,80.0,3.625,0.17,2,2236.05,NA,978.0,,,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,134,38,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,2,,,,,10,,,,5244,12.47,86900,118,1567,1619,21
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001106,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,32,1,2,2,2,75000.0,21.538,3.375,0.735,2,2447.55,NA,1125.0,,,240,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,36,30%-<36%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,2,,,,,10,,,,6358,13.92,86900,124,1613,1836,19
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001203,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,135000.0,44.828,3.125,-0.245,2,2279.25,NA,425.0,,881.5,180,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,75,40,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,5244,12.47,86900,118,1567,1619,21
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,3,1,1,1,1,2,2,2,105000.0,95.0,3.875,0.744,2,2925.65,NA,1707.5,,,360,NA,NA,2,2,2,2,105000,1,1,3,5,1,NA,91,39,1,9,2,,,,,11,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,<25,<25,No,No,1,1,2,,,,,10,,,,4923,23.62,81500,85,1265,1806,47
2022,549300ZAI389CEN8VG51,99999,WI,55099,55099970700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,31,1,2,2,2,145000.0,44.242,2.875,0.1,2,2142.6,NA,972.5,,,180,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,70,48,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,55-64,No,No,1,1,2,,,,,10,,,,2463,5.44,81500,84,944,1682,46
2022,549300ZAI389CEN8VG51,99999,WI,55141,55141010700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,195000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,52,NA,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,5085,6.41,81500,118,1570,1976,38
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,235000.0,90.0,3.125,0.095,2,2440.1,NA,1604.0,,,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,48,30%-<36%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,5963,5.35,86900,110,1929,2255,47
